build,computer.platform,computer.touch,date,time,subject,group,sessionid,blockcode,blocknum,trialcode,list.ITI.currentvalue,list.preClockFreeze.currentvalue,latency,list.ISI.currentvalue,block,trialCount,trial,run_trial,block_trial,block_type,trial_type,last_block_type,generate_new_erasure,trial_since_erasure_gen,att_index,era_index,x_final,y_final,ITI_index,seed,list.era_loc.currentvalue,has_erasure,list.att_loc.currentvalue,n_clicks,n_clicks_era_only,timeout_block,timeouts_remain,stim_center_deg,startPos,pos_shifted,rt_shifted,mag,inc_rg,inc,rng,freq,choose_stim,erasure_value,current_erasure,curr_min,list.spread.nextvalue,curr_mean,curr_max,new_mean,to_h,to_l,smooth_kernel2,rt_index,erasure_RT,right_index,left_index,stim_left_deg,stim_right_deg,scanner_sync,trial_start,freeze_start,ISI_start,feedback_start,ITI_start,erasure_blocks,attentional_control,local_uncertainty,picture.planet.item.1,picture.animatedCircle.item.1,picture.feedback2.items.1,picture.stim.item.1,Earnings,totalEarnings
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,149,649,797,466,1,15,15,15,5,attention,attention,attention,0,15,1,1,,,,5094,146,0,233,0,0,0,1,323,17,,,55,,,,0.7,0,113.75,39,1,,65.77222222,187,60.95277778,173,1,112,207,146,161,131,308,338,4531,61403,60749,59411,59896,60596,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.003,0.15
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,149,649,699,382,1,16,15,15,5,attention,attention,attention,0,15,1,1,,,,5094,146,0,233,0,0,0,1,323,17,208.584,2897,141,141,141,0.122903608,0.7,0,113.75,39,1,,65.77222222,187,60.95277778,173,1,112,119,146,161,131,308,338,4531,61403,60749,62235,62637,60596,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.0423,0.1923
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,382,699,1187,382,1,16,16,16,6,attention,attention,attention,0,16,1,1,,,,5094,146,0,233,0,0,0,1,323,56,,,141,,,,0.7,0,108.375,39,1,,60.95277778,173,56.15,159,1,103,119,146,161,131,308,338,4531,64437,63724,62235,62637,63338,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.0423,0.1923
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,382,699,699,499,1,17,16,16,6,attention,attention,attention,0,16,1,1,,,,5094,146,0,233,0,0,0,1,323,56,17.064,237,15,15,15,0.405421459,0.7,0,108.375,39,1,,60.95277778,173,56.15,159,1,103,287,146,161,131,308,338,4531,64437,63724,65659,66180,63338,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.0045,0.1968
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,416,499,978,499,1,17,17,17,7,attention,attention,attention,0,,1,1,,,,5094,146,0,233,0,0,0,1,323,53,,,15,,,,0.7,0,108.375,39,1,,56.15,159,56.15,159,1,103,287,146,161,131,308,338,4531,67822,67311,65659,66180,66882,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.0045,0.1968
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,416,499,699,432,1,18,17,17,7,attention,attention,attention,0,,1,1,,,,5094,146,0,233,0,0,0,1,323,53,351.216,4878,26,10,10,0.732951781,0.7,0,108.375,39,1,,56.15,159,56.15,159,1,103,261,146,161,131,308,338,4531,67822,67311,68835,69281,66882,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.003,0.1998
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,182,582,1340,432,1,18,18,18,8,attention,attention,attention,0,,1,1,,,,5094,146,0,233,0,0,0,1,323,96,,,26,,,,0.7,0,108.375,39,1,,51.31388889,146,56.15,159,1,103,261,146,161,131,308,338,4531,70755,70169,68835,69281,69982,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.003,0.1998
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,182,582,699,282,1,19,18,18,8,attention,attention,attention,0,,1,1,,,,5094,146,0,233,0,0,0,1,323,96,172.08,2390,124,10,10,0.744039912,0.7,0,108.375,39,1,,51.31388889,146,56.15,159,1,103,82,146,161,131,308,338,4531,70755,70169,72132,72449,69982,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.003,0.2028
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,132,632,1453,282,1,19,19,19,9,attention,attention,attention,0,,1,1,,,,5094,146,0,233,0,0,0,1,323,33,,,124,,,,0.7,0,108.375,39,1,,46.51666667,132,56.15,159,1,103,82,146,161,131,308,338,4531,73922,73285,72132,72449,73150,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.003,0.2028
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,132,632,699,399,1,20,19,19,9,attention,attention,attention,0,,1,1,,,,5094,146,0,233,1,0,0,1,323,33,313.416,4353,33,33,33,0.334003861,0.7,1,108.375,39,1,,46.51666667,132,56.15,159,1,103,223,146,161,131,308,338,4531,73922,73285,75411,75833,73150,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.0099,0.2127
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,199,532,1158,399,1,20,20,20,10,attention,attention,attention,0,,1,1,,,,5094,146,0,233,0,0,0,1,323,70,,,33,,,,0.7,0,108.375,39,1,,41.68611111,118,56.15,159,1,103,223,146,161,131,308,338,4531,77274,76737,75411,75833,76534,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.0099,0.2127
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,199,532,699,366,1,21,20,20,10,attention,attention,attention,0,,1,1,,,,5094,146,0,233,0,0,0,1,323,70,65.376,908,1,10,1,0.151095562,0.7,0,108.375,39,1,,41.68611111,118,56.15,159,1,103,335,146,161,131,308,338,4531,77274,76737,78467,78851,76534,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.003,0.2157
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,316,615,1532,366,1,21,21,21,1,no erasure,no erasure,attention,0,,1,1,,,,5094,146,0,233,,0,0,1,323,60,,,1,,,,0.7,,108.375,39,1,,36.87777778,104,56.15,159,1,103,335,146,161,131,308,338,4531,80491,79871,78467,78851,79552,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.003,0.2157
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,316,615,699,449,1,22,21,21,1,no erasure,no erasure,attention,0,,1,1,,,,5094,146,0,233,,0,0,1,323,60,56.304,782,1,10,10,0.941772693,0.7,,108.375,39,1,,36.87777778,104,56.15,159,1,103,326,146,161,131,308,338,4531,80491,79871,82059,82535,79552,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.003,0.2187
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,99,682,1422,449,1,22,22,22,2,no erasure,no erasure,no erasure,0,,1,1,,,,5094,146,0,233,,0,0,1,323,4,,,1,,,,0.7,,108.375,39,1,,32.05833333,90,56.15,159,1,103,326,146,161,131,308,338,4531,84026,83338,82059,82535,83236,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.003,0.2187
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,99,682,699,349,1,23,22,22,2,no erasure,no erasure,no erasure,0,,1,1,,,,5094,146,0,233,,0,0,1,323,4,206.784,2872,60,60,60,0.025508116,0.7,,108.375,39,1,,32.05833333,90,56.15,159,1,103,117,146,161,131,308,338,4531,84026,83338,85483,85852,83236,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.018,0.2367
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,266,599,758,349,1,23,23,23,3,no erasure,no erasure,no erasure,0,,1,1,,,,5094,146,0,233,,0,0,1,323,12,,,60,,,,0.7,,108.375,39,1,,27.21111111,76,56.15,159,1,103,117,146,161,131,308,338,4531,87427,86822,85483,85852,86553,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.018,0.2367
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,266,599,699,549,1,24,23,23,3,no erasure,no erasure,no erasure,0,,1,1,,,,5094,146,0,233,,0,0,1,323,12,187.776,2608,62,62,62,0.019513674,0.7,,108.375,39,1,,27.21111111,76,56.15,159,1,103,98,146,161,131,308,338,4531,87427,86822,88219,88787,86553,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.0186,0.2553
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,166,566,174,549,1,24,24,24,4,no erasure,no erasure,no erasure,0,,1,1,,,,5094,146,0,233,,0,0,1,323,62,,,62,,,,0.7,,108.375,39,1,,22.4,63,56.15,159,1,103,98,146,161,131,308,338,4531,90228,89657,88219,88787,89487,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.0186,0.2553
