build,computer.platform,computer.touch,date,time,subject,group,sessionid,blockcode,blocknum,trialcode,list.ITI.currentvalue,list.preClockFreeze.currentvalue,latency,list.ISI.currentvalue,block,trialCount,trial,run_trial,block_trial,block_type,trial_type,last_block_type,generate_new_erasure,trial_since_erasure_gen,att_index,era_index,x_final,y_final,ITI_index,seed,list.era_loc.currentvalue,has_erasure,list.att_loc.currentvalue,n_clicks,n_clicks_era_only,timeout_block,timeouts_remain,stim_center_deg,startPos,pos_shifted,rt_shifted,mag,inc_rg,inc,rng,freq,choose_stim,erasure_value,current_erasure,curr_min,list.spread.nextvalue,curr_mean,curr_max,new_mean,to_h,to_l,smooth_kernel2,rt_index,erasure_RT,right_index,left_index,stim_left_deg,stim_right_deg,scanner_sync,trial_start,freeze_start,ISI_start,feedback_start,ITI_start,erasure_blocks,attentional_control,local_uncertainty,picture.planet.item.1,picture.animatedCircle.item.1,picture.feedback2.items.1,picture.stim.item.1,Earnings,totalEarnings
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,presscont,1,reminder1,,,635,,0,,0,0,,,,,1,,0,0,,,,5094,,,,,,0,2,,0,0,0,0,0,0,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0,wind,cloud,blank.png,blank.png,blank.png,fog0.png,,0
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,presscont,1,reminder2,,,163,,0,,0,0,,,,,1,,0,0,,,,5094,,,,,,0,2,,0,0,0,0,0,0,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0,wind,cloud,blank.png,blank.png,blank.png,fog0.png,,0
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,presscont,1,scanner_sync,,,653,,0,,0,0,,,,,1,,0,0,,,,5094,,,,,,0,2,,0,0,0,0,0,0,,0.7,,,,,,,,,,,,,,,,,,1962,,,,,,0,wind,cloud,blank.png,blank.png,blank.png,fog0.png,,0
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,presscont,1,countdown,,,1000,,0,,0,0,,,,,1,,0,0,,,,5094,,,,,,0,2,,0,0,0,0,0,0,,0.7,,,,,,,,,,,,,,,,,,1962,,,,,,0,wind,cloud,blank.png,blank.png,blank.png,fog0.png,,0
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,experiment,2,clock,416,549,2543,,1,1,1,1,1,erasure,erasure,,1,1,0,1,,,,5094,146,1,,0,0,0,2,236,89,,,0,,,,0.7,0,39,39,1,,nan,201,,,,,,146,161,131,221,251,1962,5992,5411,,,4976,1,wind,cloud,Planet1A.png,Ship1A.png,blank.png,fog0.png,,0
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,experiment,2,feedback,416,549,699,416,1,2,1,1,1,erasure,erasure,,0,1,0,1,,,,5094,146,1,,1,1,0,2,236,89,233.496,3243,48.216,10,10,0.918557883,0.7,1,39,39,1,,nan,201,,,,,143,146,161,131,221,251,1962,5992,5411,8586,9018,4976,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.003,0.003
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,experiment,2,clock,466,532,929,416,1,2,2,2,2,erasure,erasure,erasure,0,2,0,1,,,,5094,146,1,,1,1,0,2,236,21,,,48.216,,,,0.7,1,39,39,1,,67.83407407,201,70.60555556,201,1,,143,146,161,131,221,251,1962,10757,10197,8586,9018,9722,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.003,0.003
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,experiment,2,feedback,466,532,699,482,1,3,2,2,2,erasure,erasure,erasure,0,2,0,1,,,,5094,146,1,,2,2,0,2,236,21,232.488,3229,53.12266667,53,53.12266667,0.225449213,0.7,1,39,39,1,,67.83407407,201,70.60555556,201,1,,142,146,161,131,221,251,1962,10757,10197,11738,12235,9722,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0159,0.0189
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,experiment,2,clock,299,682,290,482,1,3,3,3,3,erasure,no erasure,erasure,0,3,0,1,,,,5094,146,0,,,0,1,1,236,100,,,53.12266667,,,,0.7,,39,39,1,,67.73277778,201,70.60555556,201,1,,142,146,161,131,221,251,1962,13941,13245,11738,12235,12937,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.0159,0.0189
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,experiment,2,feedback,299,682,699,399,1,4,3,3,3,erasure,no erasure,erasure,0,3,0,1,,,,5094,146,0,,,0,1,1,236,100,110.88,1540,34,34,34,0.154398875,0.7,,39,39,1,,67.73277778,201,70.60555556,201,1,,21,146,161,131,221,251,1962,13941,13245,14282,14703,12937,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.0102,0.0291
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,experiment,2,clock,316,582,217,399,1,4,4,4,4,erasure,no erasure,erasure,0,4,0,1,,,,5094,146,0,,,0,1,0,236,59,,,34,,,,0.7,,39,39,1,,67.83407407,201,70.60555556,201,1,,21,146,161,131,221,251,1962,16327,15729,14282,14703,15405,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.0102,0.0291
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,experiment,2,feedback,316,582,699,466,1,5,4,4,4,erasure,no erasure,erasure,0,4,0,1,,,,5094,146,0,,,0,1,0,236,59,318.024,4417,54,54,54,0.074521442,0.7,,39,39,1,,67.83407407,201,70.60555556,201,1,,228,146,161,131,221,251,1962,16327,15729,16594,17087,15405,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.0162,0.0453
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,experiment,2,clock,282,665,4191,466,1,5,5,5,5,erasure,erasure,erasure,1,1,0,2,,,,5094,258,1,,0,0,0,2,348,87,,,54,,,,0.7,0,65,65,1,,67.92981481,201,70.60555556,201,1,,228,258,273,243,333,3,1962,18759,18078,16594,17087,17788,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0162,0.0453
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,experiment,2,feedback,282,665,699,566,1,6,5,5,5,erasure,erasure,erasure,0,1,0,2,,,,5094,258,1,,1,1,0,2,348,87,344.952,4791,65.36,10,10,0.996750893,0.7,1,65,65,1,,67.92981481,201,70.60555556,201,1,,255,258,273,243,333,3,1962,18759,18078,23002,23588,17788,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.003,0.0483
6.6.1,mac,0,2/6/24,16:49:24,1,1,1,experiment,2,clock,199,699,2507,566,1,6,6,6,6,erasure,erasure,erasure,0,2,0,2,,,,5094,258,1,,1,1,0,2,348,20,,,65.36,,,,0.7,1,65,65,1,,72.01296296,201,70.60555556,201,1,,255,258,273,243,333,3,1962,25212,24497,23002,23588,24289,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.003,0.0483
